"Región,""PA"",""Nombre"",""Provincia"",""Distrito"",""Corregimiento"",""01/07"",""02/07"",""03/07"",""04/07"",""05/07"",""06/07"",""07/07"",""08/07"",""09/07"",""10/07"",""11/07"",""12/07"",""13/07"",""14/07"",""15/07"",""16/07"",""17/07"",""18/07"",""19/07"",""20/07"",""21/07"",""22/07"",""23/07"",""24/07"",""25/07"",""26/07"",""27/07"",""28/07"",""29/07"",""30/07"",""31/07"""
"1,""20"",""Instituto Profesional y técnico de Bocas del Toro"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""6"",""13"",""13"",""10"",""13"",""9"",""11"",""10"",""12"",""9"",""1"",""10"",""8"",""11"",""11"",""8"",""12"",""11"",""12"",""10"",""13"",""11"",""12"",""11"",""13"",""9"",""9"",""10"",""11"",""8"",""11"""
"1,""21"",""Palacio Municipal Changuinola"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""0"",""0"",""3"",""3"",""4"",""6"",""3"",""3"",""2"",""5"",""4"",""4"",""4"",""5"",""4"",""2"",""4"",""3"",""5"",""5"",""6"",""7"",""4"",""4"",""7"",""7"",""6"",""7"",""4"",""3"",""10"""
"1,""22"",""Parque de la escuela de changuinola"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""4"",""6"",""6"",""3"",""4"",""5"",""4"",""5"",""5"",""5"",""7"",""7"",""7"",""2"",""2"",""4"",""5"",""5"",""5"",""5"",""5"",""4"",""7"",""4"",""6"",""6"",""5"",""6"",""8"",""3"",""5"""
"1,""24"",""Policia de la Niñez y Adolescencia"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""6"",""9"",""9"",""8"",""5"",""6"",""9"",""6"",""7"",""10"",""7"",""11"",""11"",""10"",""8"",""6"",""8"",""7"",""8"",""9"",""8"",""5"",""7"",""10"",""14"",""7"",""12"",""8"",""6"",""6"",""8"""
"1,""26"",""Terminal de Transporte Sincotavecop"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""2"",""7"",""7"",""8"",""7"",""7"",""4"",""8"",""6"",""5"",""6"",""4"",""5"",""5"",""6"",""5"",""5"",""8"",""6"",""6"",""7"",""7"",""7"",""7"",""6"",""5"",""4"",""6"",""7"",""6"",""1"""
"1,""27"",""C.E.B.G. Finca 32"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""3"",""7"",""8"",""7"",""9"",""7"",""9"",""5"",""10"",""9"",""6"",""10"",""7"",""7"",""4"",""6"",""9"",""9"",""7"",""7"",""7"",""4"",""16"",""9"",""7"",""7"",""8"",""5"",""4"",""3"",""8"""
"1,""28"",""C.E.B.G. FINCA 62"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""6"",""13"",""8"",""6"",""9"",""9"",""7"",""4"",""11"",""7"",""11"",""9"",""10"",""9"",""9"",""5"",""11"",""8"",""9"",""9"",""7"",""8"",""17"",""13"",""9"",""9"",""10"",""11"",""8"",""5"",""12"""
"1,""29"",""Escuela Finca 43"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""4"",""8"",""6"",""5"",""6"",""3"",""5"",""7"",""7"",""7"",""4"",""4"",""7"",""5"",""4"",""7"",""4"",""6"",""6"",""9"",""8"",""6"",""5"",""4"",""6"",""7"",""8"",""6"",""6"",""5"",""7"""
"1,""30"",""Escuela Finca 44"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""1"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""3"",""2"",""4"",""4"",""3"",""3"",""4"",""4"",""4"",""5"",""8"",""3"",""5"",""4"",""5"",""3"",""5"",""6"",""5"",""2"",""4"""
"1,""31"",""Escuela Finca 64"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""10"",""16"",""14"",""12"",""11"",""11"",""15"",""13"",""10"",""14"",""14"",""13"",""13"",""13"",""16"",""13"",""13"",""13"",""16"",""5"",""0"",""0"",""0"",""10"",""16"",""17"",""15"",""19"",""11"",""15"",""14"""
"1,""32"",""Escuela Finca 67"",""Bocas del Toro"",""Changuinola"",""Changuinola"",""7"",""11"",""13"",""10"",""9"",""11"",""12"",""16"",""16"",""12"",""13"",""14"",""13"",""9"",""11"",""7"",""12"",""11"",""12"",""13"",""16"",""15"",""16"",""15"",""12"",""14"",""12"",""12"",""12"",""14"",""10"""
"1,""33"",""C.E.B.G. Finca 04"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""2"",""6"",""2"",""3"",""4"",""5"",""3"",""6"",""9"",""3"",""5"",""4"",""5"",""3"",""5"",""4"",""6"",""5"",""5"",""4"",""6"",""4"",""8"",""4"",""6"",""3"",""4"",""4"",""4"",""2"",""3"""
"1,""34"",""Cuartel de Bomberos del Empalme"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""1"",""3"",""3"",""6"",""6"",""7"",""4"",""4"",""3"",""5"",""6"",""3"",""5"",""5"",""5"",""4"",""3"",""6"",""5"",""6"",""8"",""5"",""9"",""7"",""10"",""5"",""5"",""6"",""8"",""5"",""0"""
"1,""35"",""Escuela El Empalme"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""2"",""3"",""3"",""3"",""5"",""4"",""5"",""5"",""5"",""5"",""6"",""5"",""5"",""7"",""2"",""3"",""3"",""3"",""3"",""5"",""4"",""3"",""5"",""4"",""4"",""6"",""4"",""5"",""2"",""3"",""6"""
"1,""36"",""Escuela El Silencio"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""8"",""7"",""7"",""7"",""8"",""9"",""9"",""6"",""5"",""3"",""6"",""6"",""6"",""5"",""5"",""5"",""12"",""6"",""7"",""7"",""8"",""7"",""7"",""7"",""9"",""8"",""5"",""7"",""5"",""7"",""6"""
"1,""37"",""Escuela Finca 3"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""2"",""4"",""5"",""2"",""3"",""2"",""3"",""4"",""2"",""1"",""2"",""3"",""2"",""3"",""5"",""4"",""4"",""3"",""7"",""5"",""9"",""6"",""5"",""9"",""6"",""7"",""5"",""3"",""3"",""2"",""3"""
"1,""38"",""I.P.T. EL SILENCIO"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""1"",""7"",""4"",""4"",""4"",""6"",""7"",""8"",""5"",""7"",""8"",""6"",""7"",""5"",""2"",""1"",""4"",""3"",""2"",""1"",""1"",""0"",""8"",""5"",""5"",""6"",""7"",""6"",""2"",""1"",""5"""
"1,""39"",""Universidad de Panamá El Empalme"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""2"",""8"",""4"",""4"",""5"",""5"",""6"",""2"",""2"",""2"",""4"",""4"",""4"",""3"",""4"",""1"",""3"",""4"",""4"",""6"",""2"",""2"",""0"",""0"",""0"",""0"",""1"",""1"",""4"",""8"",""5"""
"1,""40"",""Universidad de Panamá- Sede Agropecuaria"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""0"",""0"",""2"",""0"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""2"",""0"",""0"",""0"",""0"",""0"",""1"",""1"",""1"",""0"",""1"""
"1,""41"",""UTP El Empalme"",""Bocas del Toro"",""Changuinola"",""El Empalme"",""2"",""1"",""4"",""6"",""4"",""3"",""3"",""5"",""5"",""7"",""4"",""4"",""5"",""4"",""4"",""5"",""8"",""5"",""7"",""4"",""5"",""4"",""8"",""6"",""6"",""5"",""5"",""5"",""5"",""3"",""2"""
"1,""42"",""C.E.B.G. Guabito"",""Bocas del Toro"",""Changuinola"",""Guabito"",""5"",""16"",""14"",""15"",""11"",""11"",""13"",""13"",""14"",""14"",""12"",""11"",""7"",""8"",""9"",""9"",""12"",""11"",""12"",""12"",""15"",""8"",""17"",""11"",""11"",""13"",""11"",""14"",""10"",""5"",""10"""
"1,""43"",""Colegio Secundario de Guabito"",""Bocas del Toro"",""Changuinola"",""Guabito"",""11"",""10"",""10"",""10"",""7"",""7"",""8"",""9"",""7"",""8"",""9"",""9"",""8"",""10"",""9"",""8"",""9"",""9"",""10"",""7"",""8"",""8"",""9"",""10"",""10"",""13"",""9"",""10"",""8"",""8"",""8"""
"1,""44"",""Escuela Finca 41 Guabito"",""Bocas del Toro"",""Changuinola"",""Guabito"",""3"",""5"",""9"",""8"",""3"",""5"",""4"",""3"",""6"",""5"",""5"",""4"",""5"",""4"",""4"",""6"",""4"",""4"",""4"",""3"",""4"",""3"",""3"",""4"",""4"",""4"",""6"",""4"",""3"",""2"",""2"""
"1,""45"",""Escuela Finca 54"",""Bocas del Toro"",""Changuinola"",""Guabito"",""2"",""11"",""2"",""2"",""5"",""5"",""9"",""4"",""10"",""2"",""1"",""5"",""5"",""4"",""4"",""3"",""5"",""6"",""4"",""6"",""10"",""6"",""13"",""8"",""12"",""9"",""11"",""10"",""10"",""8"",""10"""
"1,""46"",""Escuela Finca Débora"",""Bocas del Toro"",""Changuinola"",""Guabito"",""13"",""29"",""25"",""20"",""20"",""25"",""19"",""25"",""19"",""24"",""23"",""13"",""18"",""21"",""21"",""16"",""20"",""17"",""14"",""17"",""20"",""22"",""30"",""22"",""34"",""30"",""22"",""23"",""23"",""24"",""23"""
"1,""47"",""Escuela Puente blanco"",""Bocas del Toro"",""Changuinola"",""Guabito"",""15"",""16"",""25"",""30"",""23"",""23"",""28"",""23"",""18"",""26"",""25"",""23"",""27"",""21"",""25"",""26"",""22"",""18"",""23"",""23"",""22"",""17"",""36"",""23"",""25"",""24"",""25"",""24"",""16"",""22"",""24"""
"1,""48"",""Escuela San San Medio (Anexa)"",""Bocas del Toro"",""Changuinola"",""Guabito"",""7"",""8"",""10"",""11"",""10"",""8"",""12"",""12"",""15"",""12"",""13"",""12"",""11"",""11"",""10"",""7"",""9"",""8"",""6"",""9"",""11"",""11"",""8"",""10"",""10"",""13"",""11"",""12"",""12"",""11"",""15"""
"1,""49"",""Policlínica de Guabito CSS"",""Bocas del Toro"",""Changuinola"",""Guabito"",""10"",""13"",""16"",""10"",""12"",""15"",""10"",""9"",""10"",""12"",""13"",""13"",""16"",""10"",""8"",""11"",""14"",""12"",""9"",""8"",""13"",""1"",""10"",""12"",""12"",""13"",""8"",""9"",""8"",""5"",""13"""
"1,""51"",""C.E.B.G. Dionisia G. de Ayarza"",""Bocas del Toro"",""Chiriquí Grande"",""Chiriquí Grande"",""3"",""5"",""5"",""5"",""5"",""5"",""5"",""4"",""6"",""6"",""7"",""5"",""6"",""8"",""4"",""3"",""3"",""6"",""3"",""3"",""3"",""2"",""3"",""5"",""6"",""6"",""4"",""5"",""2"",""2"",""4"""
"1,""52"",""I.P.T. Chiriquí Grande"",""Bocas del Toro"",""Chiriquí Grande"",""Chiriquí Grande"",""14"",""15"",""10"",""13"",""10"",""11"",""11"",""13"",""12"",""9"",""11"",""11"",""10"",""12"",""11"",""13"",""8"",""12"",""9"",""11"",""9"",""12"",""10"",""8"",""8"",""9"",""8"",""6"",""3"",""1"",""12"""
"1,""53"",""Municipio Chiriquí Grande (Cabecera)"",""Bocas del Toro"",""Chiriquí Grande"",""Chiriquí Grande"",""12"",""10"",""11"",""12"",""8"",""8"",""14"",""12"",""9"",""9"",""9"",""12"",""10"",""10"",""8"",""7"",""10"",""12"",""12"",""13"",""12"",""14"",""7"",""10"",""11"",""10"",""14"",""16"",""14"",""10"",""13"""
"1,""55"",""C.E.B.G. PUNTA PEÑA"",""Bocas del Toro"",""Chiriquí Grande"",""Punta Peña"",""18"",""17"",""10"",""12"",""10"",""14"",""14"",""17"",""17"",""14"",""12"",""14"",""13"",""15"",""14"",""14"",""12"",""14"",""14"",""15"",""16"",""15"",""16"",""9"",""13"",""11"",""5"",""11"",""10"",""10"",""11"""
"1,""56"",""Escuela Cañazas"",""Bocas del Toro"",""Chiriquí Grande"",""Punta Peña"",""16"",""17"",""16"",""15"",""17"",""13"",""14"",""20"",""13"",""13"",""11"",""8"",""14"",""17"",""14"",""13"",""15"",""10"",""12"",""12"",""15"",""12"",""13"",""13"",""15"",""16"",""12"",""18"",""18"",""17"",""14"""
"1,""57"",""Esc. Alanje"",""Chiriquí"",""Alanje"",""Santiago de Alanje"",""0"",""5"",""1"",""0"",""1"",""1"",""1"",""0"",""5"",""0"",""1"",""1"",""0"",""3"",""1"",""0"",""1"",""2"",""1"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""1"""
"1,""58"",""Municipio de Alanje"",""Chiriquí"",""Alanje"",""Santiago de Alanje"",""1"",""2"",""2"",""3"",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""4"",""2"",""1"",""1"",""1"",""1"",""1"""
"1,""59"",""Parque Central Alanje"",""Chiriquí"",""Alanje"",""Santiago de Alanje"",""4"",""3"",""3"",""4"",""3"",""4"",""6"",""4"",""4"",""4"",""4"",""5"",""5"",""4"",""3"",""4"",""5"",""5"",""4"",""5"",""7"",""5"",""6"",""6"",""9"",""6"",""6"",""6"",""6"",""6"",""6"""
"1,""60"",""C.E.B.G. Divalá"",""Chiriquí"",""Alanje"",""Divalá"",""5"",""2"",""4"",""4"",""5"",""4"",""4"",""2"",""6"",""6"",""4"",""4"",""3"",""3"",""4"",""4"",""5"",""5"",""5"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""4"",""4"",""3"",""3"",""3"""
"1,""61"",""Policlínica de la CSS de Divala"",""Chiriquí"",""Alanje"",""Divalá"",""1"",""2"",""2"",""2"",""3"",""1"",""2"",""2"",""2"",""1"",""2"",""0"",""2"",""1"",""0"",""3"",""3"",""4"",""2"",""1"",""0"",""0"",""0"",""4"",""1"",""4"",""2"",""3"",""0"",""1"",""1"""
"1,""62"",""Esc. Guarumal"",""Chiriquí"",""Alanje"",""Guarumal"",""3"",""2"",""2"",""1"",""1"",""1"",""2"",""3"",""6"",""2"",""1"",""2"",""3"",""1"",""3"",""0"",""2"",""1"",""1"",""2"",""2"",""2"",""3"",""1"",""0"",""2"",""1"",""0"",""3"",""1"",""2"""
"1,""64"",""Esc. La Esperanza"",""Chiriquí"",""Barú"",""Baco"",""1"",""1"",""3"",""3"",""2"",""2"",""3"",""1"",""3"",""1"",""3"",""1"",""0"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""9"",""3"",""3"",""3"",""3"",""2"",""2"",""1"",""1"""
"1,""65"",""Esc. San Valentín"",""Chiriquí"",""Barú"",""Baco"",""7"",""14"",""8"",""9"",""9"",""9"",""9"",""8"",""5"",""6"",""10"",""5"",""8"",""7"",""5"",""5"",""6"",""6"",""6"",""8"",""2"",""0"",""0"",""4"",""7"",""7"",""8"",""6"",""3"",""5"",""2"""
"1,""66"",""Centro de Educ. Media de Progreso"",""Chiriquí"",""Barú"",""Progreso"",""3"",""1"",""7"",""6"",""7"",""7"",""7"",""3"",""2"",""7"",""5"",""1"",""7"",""5"",""4"",""0"",""7"",""7"",""7"",""7"",""4"",""2"",""1"",""7"",""5"",""5"",""4"",""3"",""4"",""2"",""6"""
"1,""68"",""Esc. Chuchupate"",""Chiriquí"",""Barú"",""Progreso"",""22"",""26"",""22"",""17"",""24"",""15"",""17"",""29"",""28"",""23"",""22"",""25"",""27"",""12"",""15"",""26"",""18"",""15"",""24"",""25"",""19"",""19"",""23"",""21"",""20"",""17"",""27"",""16"",""24"",""21"",""19"""
"1,""69"",""Biblioteca Pública Generosa Valdez de Diaz"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""2"",""3"",""1"",""1"",""2"",""2"",""3"",""2"",""1"",""2"",""1"",""1"",""2"",""3"",""2"",""1"",""1"",""1"",""1"",""0"""
"1,""70"",""Bomberos Puerto Armuelles"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""1"",""2"",""2"",""1"",""1"",""1"",""3"",""2"",""0"",""2"",""1"",""3"",""2"",""2"",""1"",""3"",""2"",""2"",""4"",""1"",""1"",""5"",""2"",""3"",""2"",""2"",""1"",""2"",""2"",""5"",""1"""
"1,""71"",""Esc. Los Ángeles"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""2"",""1"",""4"",""4"",""4"",""3"",""3"",""2"",""2"",""2"",""4"",""2"",""4"",""1"",""1"",""3"",""3"",""2"",""3"",""5"",""6"",""2"",""3"",""4"",""2"",""4"",""3"",""4"",""2"",""2"",""1"""
"1,""72"",""Esc. Márgenes de Corotú"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""17"",""24"",""19"",""24"",""21"",""19"",""22"",""24"",""27"",""19"",""21"",""25"",""21"",""27"",""14"",""21"",""17"",""20"",""17"",""22"",""20"",""18"",""22"",""21"",""20"",""20"",""24"",""32"",""25"",""25"",""9"""
"1,""74"",""Esc. Sec. de Puerto Armuelles"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""0"",""3"",""3"",""3"",""3"",""4"",""5"",""0"",""1"",""3"",""3"",""0"",""2"",""5"",""0"",""0"",""3"",""6"",""5"",""5"",""4"",""0"",""1"",""1"",""5"",""4"",""3"",""4"",""0"",""0"",""3"""
"1,""75"",""Esc. Tomás Armuelles"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""2"",""1"",""2"",""3"",""4"",""4"",""3"",""2"",""6"",""3"",""5"",""4"",""4"",""4"",""3"",""2"",""3"",""6"",""4"",""3"",""5"",""1"",""1"",""3"",""4"",""3"",""4"",""5"",""1"",""1"",""2"""
"1,""77"",""Municipio Puerto Armuelles"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""2"",""1"",""3"",""2"",""1"",""3"",""4"",""3"",""2"",""5"",""4"",""2"",""4"",""5"",""3"",""1"",""3"",""3"",""2"",""2"",""4"",""3"",""3"",""2"",""2"",""3"",""2"",""2"",""1"",""1"",""2"""
"1,""78"",""Parque Central Puerto Armuelles"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""6"",""5"",""8"",""9"",""7"",""5"",""9"",""6"",""10"",""6"",""6"",""9"",""7"",""7"",""4"",""6"",""5"",""4"",""8"",""8"",""5"",""6"",""4"",""9"",""6"",""8"",""8"",""11"",""6"",""7"",""6"""
"1,""79"",""Esc. Agua Buena"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""4"",""3"",""3"",""2"",""2"",""1"",""2"",""1"",""3"",""5"",""4"",""1"",""1"",""1"",""4"",""2"",""1"",""1"",""3"",""5"",""6"",""1"",""1"""
"1,""80"",""Esc. El Palmar"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""3"",""11"",""5"",""5"",""4"",""3"",""5"",""5"",""8"",""5"",""4"",""5"",""4"",""5"",""3"",""4"",""3"",""3"",""2"",""2"",""3"",""2"",""4"",""2"",""1"",""2"",""2"",""5"",""2"",""2"",""2"""
"1,""81"",""Esc. Flor de Lima"",""Chiriquí"",""Barú"",""Puerto Tomás Armuelles"",""1"",""2"",""3"",""3"",""4"",""3"",""1"",""2"",""3"",""4"",""4"",""5"",""3"",""8"",""4"",""4"",""6"",""3"",""3"",""4"",""5"",""4"",""2"",""3"",""4"",""5"",""3"",""5"",""3"",""4"",""2"""
"1,""83"",""Esc. Aguacatón"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""8"",""12"",""10"",""6"",""6"",""10"",""16"",""6"",""6"",""14"",""6"",""7"",""7"",""6"",""7"",""7"",""8"",""4"",""3"",""3"",""3"",""2"",""2"",""7"",""5"",""3"",""4"",""7"",""5"",""6"",""5"""
"1,""84"",""Esc. Balsa"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""24"",""23"",""18"",""19"",""20"",""15"",""23"",""28"",""27"",""23"",""20"",""25"",""26"",""16"",""24"",""24"",""19"",""20"",""20"",""20"",""18"",""23"",""19"",""23"",""19"",""27"",""27"",""24"",""26"",""25"",""4"""
"1,""85"",""Esc. Burica Centro"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""6"",""22"",""10"",""9"",""12"",""10"",""14"",""12"",""11"",""12"",""11"",""7"",""8"",""6"",""7"",""13"",""17"",""12"",""14"",""16"",""7"",""7"",""10"",""14"",""15"",""13"",""13"",""11"",""10"",""8"",""5"""
"1,""86"",""Esc. Corozo"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""6"",""7"",""7"",""6"",""6"",""6"",""9"",""8"",""6"",""6"",""4"",""8"",""5"",""0"",""1"",""7"",""3"",""5"",""8"",""4"",""7"",""5"",""4"",""4"",""6"",""6"",""5"",""4"",""6"",""5"",""3"""
"1,""87"",""Esc. Finca Blanco"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""3"",""5"",""3"",""6"",""5"",""8"",""0"",""3"",""7"",""6"",""9"",""8"",""8"",""6"",""3"",""5"",""9"",""7"",""8"",""6"",""9"",""6"",""8"",""6"",""7"",""5"",""6"",""6"",""4"",""8"",""4"""
"1,""88"",""Esc. Finca Bongo"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""14"",""16"",""17"",""20"",""21"",""14"",""0"",""9"",""19"",""19"",""22"",""22"",""18"",""10"",""12"",""20"",""16"",""18"",""17"",""19"",""18"",""19"",""19"",""18"",""18"",""19"",""20"",""21"",""18"",""19"",""11"""
"1,""89"",""Esc. Finca Zapatero"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""12"",""14"",""17"",""17"",""14"",""16"",""0"",""10"",""16"",""19"",""17"",""20"",""15"",""11"",""8"",""17"",""19"",""17"",""18"",""14"",""16"",""20"",""17"",""16"",""13"",""15"",""16"",""22"",""16"",""18"",""7"""
"1,""90"",""Esc. Guayacán"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""11"",""18"",""23"",""24"",""23"",""23"",""24"",""23"",""25"",""19"",""21"",""24"",""7"",""24"",""26"",""30"",""25"",""22"",""22"",""24"",""25"",""29"",""28"",""22"",""0"",""3"",""21"",""17"",""16"",""19"",""14"""
"1,""91"",""Esc. Higuerón"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""11"",""18"",""19"",""16"",""18"",""12"",""21"",""17"",""20"",""20"",""23"",""22"",""22"",""14"",""18"",""20"",""20"",""16"",""15"",""16"",""12"",""16"",""20"",""17"",""18"",""19"",""19"",""20"",""18"",""18"",""8"""
"1,""92"",""Esc. La Victoria"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""22"",""20"",""17"",""17"",""18"",""11"",""13"",""20"",""17"",""20"",""23"",""27"",""16"",""10"",""20"",""21"",""18"",""17"",""18"",""18"",""21"",""26"",""25"",""27"",""17"",""20"",""18"",""21"",""21"",""21"",""9"""
"1,""93"",""Esc. Manaca Civil"",""Chiriquí"",""Barú"",""Rodolfo Aguilar Delgado"",""5"",""6"",""6"",""8"",""8"",""7"",""5"",""3"",""6"",""5"",""4"",""4"",""4"",""5"",""3"",""5"",""4"",""4"",""4"",""3"",""4"",""4"",""3"",""3"",""5"",""6"",""6"",""5"",""4"",""3"",""2"""
